figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	30.6938	1.48705207386259
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	25.5443	1.40729570620601
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.8406	1.22636013940942
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	61.4956	1.78884474940858
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	91.7067	1.96240153951937
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.50805	1.26736301059814
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.5477	1.31276532991004
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	13.58255	1.1329845098635
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	33.3891	1.52360601355129
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	36.84	1.56632080038988
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.16502	0.962138155604471
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.13954	0.960929089706196
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	66.7259	1.82429509113287
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.42282	0.974185504000897
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	120.312	2.08030930729805
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.4198	1.09411809909153
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	596.645	2.7757160782933
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	33.0407	1.51905055412593
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	34.19025	1.53390354660796
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	34.9948	1.544004756829
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.21251	0.914481199563037
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.17206	0.96247162199674
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	64.3019	1.80822448109616
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	90.9116	1.95861977891455
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	149.73	2.17530911463744
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.8527	1.22667206684094
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	29.1562	1.46473241019677
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	70.1313	1.84591250860085
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	46.2382	1.66500185841007
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.07335	0.907059159973844
