pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
bambu_sq3	novel_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	15	0.794277204083947	0.301870514606127	0.972602739726027	0.555766569214977	0.993657342161966	0.43789077294699
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	23	0.883857551896312	0.209182726560836	0.991353508480213	0.926499018915521	0.999409448818898	0.0729104299033769
bambu_sq3	novel_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	23	0.760676096184554	0.304379333132221	0.948593891744784	0.534178734913131	0.980152595934733	0.445973861021602
bambu_sq3	novel_evl	wtc11_captrap_ont	human	TP+PTP	isoform_cov	12	0.659364585322472	0.356630491744317	0.795383344406538	0.313256127459741	0.999370012599748	0.686113885140007
bambu_sq3	novel_evl	wtc11_captrap_pacbio	human	TP+PTP	isoform_cov	12	0.69443300380695	0.332029386088314	0.81069034014918	0.371109329435345	1	0.628890670564655
bambu_sq3	novel_evl	wtc11_cdna_ont	human	TP+PTP	isoform_cov	12	0.664557571181352	0.346184898164386	0.742654117450645	0.30294278894142	0.999685006299874	0.696742217358454
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	18	0.875700706547489	0.297715664079805	0.999543378995434	0.982836511517286	1.00345794208441	0.0206214305671273
bambu_sq3	novel_evl	wtc11_drna_ont	human	TP+PTP	isoform_cov	15	0.836996500392628	0.333486444598417	0.992961876832845	0.812019279818648	0.996170207601328	0.18415092778268
bambu_sq3	ref_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	25	1	0	1	1	1	0
bambu_sq3	ref_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	26	0.989306367718799	0.0545270396730272	1	1	1	0
bambu_sq3	ref_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	26	0.991307013510259	0.0443257077425899	1	1	1	0
bambu_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	25	1	0	1	1	1	0
bambu_sq3	ref_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	27	0.992921962282439	0.030068280929839	1	1	1	0
bambu_sq3	ref_evl	wtc11_captrap_ont	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
bambu_sq3	ref_evl	wtc11_captrap_pacbio	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
bambu_sq3	ref_evl	wtc11_cdna_ont	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
bambu_sq3	ref_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
bambu_sq3	ref_evl	wtc11_drna_ont	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
flair_sq3	novel_evl	es_captrap_ont	mouse	TP+PTP	isoform_cov	56	0.496525765551742	0.344647351936919	0.398534020860166	0.20864832174176	0.824657534246575	0.616009212504816
flair_sq3	novel_evl	es_captrap_pacbio	mouse	TP+PTP	isoform_cov	44	0.618794855318766	0.342629702678121	0.605014429346183	0.352974665528039	1	0.647025334471961
flair_sq3	novel_evl	es_cdna_ont	mouse	TP+PTP	isoform_cov	54	0.506504381380178	0.33449476816368	0.456102362204724	0.211263168302592	0.836032006683664	0.624768838381072
flair_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	63	0.773296910413723	0.251834462065366	0.928619228195405	0.53503937007874	1	0.46496062992126
flair_sq3	novel_evl	es_drna_ont	mouse	TP+PTP	isoform_cov	52	0.619446024006668	0.319278718206835	0.535556687669037	0.31664786131911	0.949198669488963	0.632550808169853
